Jaar-maandnummer (instroomdatum);Aantal zaken;Eerste Asiel aanvraag indicatie (zaak);Jaar (standdatum);Jaar (instroomdatum);Werksoort (zaak);Gevraagde kwalificatie (zaak);Geleverde kwalificatie (zaak);Zaak definitief indicatie (zaak);Afdoeningswijze (zaak definitief);Nationaliteit lange omschrijving (subject instroomdatum);Nationaliteit lange omschrijving (subject uitstroomdatum)
201801;97;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Ongegrond;;
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Intrekking door klant;Burger van Azerbajdsjan;Burger van Azerbajdsjan
201801;12;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;Onbekend;N;Onbekend;;Onbekend
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;911 Asiel vanuit bewaring;Onbekend;J;Ongegrond;;
201801;252;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;493 Asiel voor bepaalde tijd;J;Inwilliging;;
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;493 Asiel voor bepaalde tijd;J;Niet ontvankelijk;;
201801;2;J;2018;2018;VVA bepaalde tijd PIVA;915 VRIS;Onbekend;J;Kennelijk ongegrond;;
201801;37;J;2018;2018;VVA bepaalde tijd PIVA;914 Asiel bij grensweigering;Onbekend;J;Buiten behandeling stellen;;
201801;44;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;493 Asiel voor bepaalde tijd;J;Inwilliging;;
201801;499;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet in behandeling nemen;;
201801;31;J;2018;2018;Uitgenodigde vluchtel aankomst;493 Asiel voor bepaalde tijd;493 Asiel voor bepaalde tijd;J;Inwilliging;;
201801;60;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet ontvankelijk;;
201801;115;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Kennelijk ongegrond;;
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;914 Asiel bij grensweigering;Onbekend;J;Buiten behandeling stellen;Burger van Dominicaanse Republiek;Burger van Dominicaanse Republiek
201801;3;J;2018;2018;VVA bepaalde tijd PIVA;915 VRIS;Onbekend;J;Intrekking door klant;;
201801;4;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet in behandeling nemen;;
201801;4;J;2018;2018;VVA bepaalde tijd PIVA;647 Nareizigers asiel;Onbekend;J;Intrekking door klant;;
201801;872;J;2018;2018;VVA bepaalde tijd PIVA;647 Nareizigers asiel;493 Asiel voor bepaalde tijd;J;Inwilliging;;
201801;37;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Intrekking door klant;;
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet in behandeling nemen;Burger van Bangladesh;Burger van Bangladesh
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;914 Asiel bij grensweigering;Onbekend;J;Niet ontvankelijk;;
201801;4;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Kennelijk ongegrond;Burger van Bosnië-Herzegovina;Burger van Bosnië-Herzegovina
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Buiten behandeling stellen;Burger van de Bondsrepubliek Duitsland;Burger van de Bondsrepubliek Duitsland
201801;12;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet in behandeling nemen;Burger van Azerbajdsjan;Burger van Azerbajdsjan
201801;10;J;2018;2018;VVA bepaalde tijd PIVA;911 Asiel vanuit bewaring;Onbekend;J;Kennelijk ongegrond;;
201801;4;J;2018;2018;VVA bepaalde tijd PIVA;911 Asiel vanuit bewaring;Onbekend;J;Niet in behandeling nemen;;
201801;3;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Kennelijk ongegrond;;
201801;2;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet in behandeling nemen;Burger van Armenië;Burger van Armenië
201801;2;J;2018;2018;VVA bepaalde tijd PIVA;647 Nareizigers asiel;Onbekend;N;Onbekend;;Onbekend
201801;73;J;2018;2018;VVA bepaalde tijd PIVA;914 Asiel bij grensweigering;Onbekend;J;Ongegrond;;
201801;4;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet ontvankelijk;;
201801;1;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;493 Asiel voor bepaalde tijd;J;Ongegrond;;
201801;2;J;2018;2018;VVA bepaalde tijd PIVA;911 Asiel vanuit bewaring;Onbekend;J;Buiten behandeling stellen;;
201801;8;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Ongegrond;;
201801;21;J;2018;2018;VVA bepaalde tijd PIVA;914 Asiel bij grensweigering;Onbekend;J;Intrekking door klant;;
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Niet in behandeling nemen;Burger van Belarus (Wit-Rusland);Burger van Belarus (Wit-Rusland)
201801;1;J;2018;2018;VVA bepaalde tijd PIVA;911 Asiel vanuit bewaring;Onbekend;J;Kennelijk ongegrond;Burger van Bosnië-Herzegovina;Burger van Bosnië-Herzegovina
201801;12;J;2018;2018;VVA bepaalde tijd PIVA;911 Asiel vanuit bewaring;Onbekend;J;Intrekking door klant;;
201801;89;J;2018;2018;VVA bepaalde tijd PIVA;493 Asiel voor bepaalde tijd;Onbekend;N;Onbekend;;Onbekend
201801;14;J;2018;2018;Asiel AMV PIVA;493 Asiel voor bepaalde tijd;Onbekend;J;Buiten behandeling stellen;;
